,market,name,region,subregion,languages_dict,languages
30,BVT,Bouvet Island,Antarctic Ocean,South Antarctic Ocean,"[{'iso639_1': 'no', 'iso639_2': 'nor', 'name': 'Norwegian', 'nativeName': 'Norsk'}, {'iso639_1': 'nb', 'iso639_2': 'nob', 'name': 'Norwegian Bokmål', 'nativeName': 'Norsk bokmål'}, {'iso639_1': 'nn', 'iso639_2': 'nno', 'name': 'Norwegian Nynorsk', 'nativeName': 'Norsk nynorsk'}]",Norwegian;Norwegian Bokmål;Norwegian Nynorsk
31,BRA,Brazil,Americas,South America,"[{'iso639_1': 'pt', 'iso639_2': 'por', 'name': 'Portuguese', 'nativeName': 'Português'}]",Portuguese
32,IOT,British Indian Ocean Territory,Africa,Eastern Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
33,UMI,United States Minor Outlying Islands,Americas,Northern America,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
34,VGB,Virgin Islands (British),Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
35,VIR,Virgin Islands (U.S.),Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
36,BRN,Brunei Darussalam,Asia,South-Eastern Asia,"[{'iso639_1': 'ms', 'iso639_2': 'msa', 'name': 'Malay', 'nativeName': 'bahasa Melayu'}]",Malay
37,BGR,Bulgaria,Europe,Eastern Europe,"[{'iso639_1': 'bg', 'iso639_2': 'bul', 'name': 'Bulgarian', 'nativeName': 'български език'}]",Bulgarian
38,BFA,Burkina Faso,Africa,Western Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'ff', 'iso639_2': 'ful', 'name': 'Fula', 'nativeName': 'Fulfulde'}]",French;Fula
39,BDI,Burundi,Africa,Eastern Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'rn', 'iso639_2': 'run', 'name': 'Kirundi', 'nativeName': 'Ikirundi'}]",French;Kirundi
40,KHM,Cambodia,Asia,South-Eastern Asia,"[{'iso639_1': 'km', 'iso639_2': 'khm', 'name': 'Khmer', 'nativeName': 'ខ្មែរ'}]",Khmer
41,CMR,Cameroon,Africa,Middle Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",English;French
42,CAN,Canada,Americas,Northern America,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",English;French
43,CPV,Cabo Verde,Africa,Western Africa,"[{'iso639_1': 'pt', 'iso639_2': 'por', 'name': 'Portuguese', 'nativeName': 'Português'}]",Portuguese
44,CYM,Cayman Islands,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
45,CAF,Central African Republic,Africa,Middle Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'sg', 'iso639_2': 'sag', 'name': 'Sango', 'nativeName': 'yângâ tî sängö'}]",French;Sango
46,TCD,Chad,Africa,Middle Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",French;Arabic
47,CHL,Chile,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
48,CHN,China,Asia,Eastern Asia,"[{'iso639_1': 'zh', 'iso639_2': 'zho', 'name': 'Chinese', 'nativeName': '中文 (Zhōngwén)'}]",Chinese
49,CXR,Christmas Island,Oceania,Australia and New Zealand,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
50,CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
51,COL,Colombia,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
52,COM,Comoros,Africa,Eastern Africa,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",Arabic;French
53,COG,Congo,Africa,Middle Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'ln', 'iso639_2': 'lin', 'name': 'Lingala', 'nativeName': 'Lingála'}]",French;Lingala
54,COD,Congo (Democratic Republic of the),Africa,Middle Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'ln', 'iso639_2': 'lin', 'name': 'Lingala', 'nativeName': 'Lingála'}, {'iso639_1': 'kg', 'iso639_2': 'kon', 'name': 'Kongo', 'nativeName': 'Kikongo'}, {'iso639_1': 'sw', 'iso639_2': 'swa', 'name': 'Swahili', 'nativeName': 'Kiswahili'}, {'iso639_1': 'lu', 'iso639_2': 'lub', 'name': 'Luba-Katanga', 'nativeName': 'Tshiluba'}]",French;Lingala;Kongo;Swahili;Luba-Katanga
55,COK,Cook Islands,Oceania,Polynesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_2': 'rar', 'name': 'Cook Islands Māori', 'nativeName': 'Māori'}]",English;Cook Islands Māori
56,CRI,Costa Rica,Americas,Central America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
57,HRV,Croatia,Europe,Southern Europe,"[{'iso639_1': 'hr', 'iso639_2': 'hrv', 'name': 'Croatian', 'nativeName': 'hrvatski jezik'}]",Croatian
58,CUB,Cuba,Americas,Caribbean,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
